Dataset Name,Image Name,Source Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Developmental Stage],Protocol REF,Experimental Condition [Antibody 1],Antibody Identifier 1,Comment [Antibody 1],Experimental Condition [Antibody 2],Antibody Identifier 2,Comment [Antibody 2],Experimental Condition [Antibody 3],Antibody Identifier 3,Comment [Antibody 3],Comment [Probe],Comment [Gene Identifier 1],Comment [Gene Symbol 1],Comment [Gene Identifier 2],Comment [Gene Symbol 2],Comment [Gene Identifier 3],Comment [Gene Symbol 3],Comment [Image File Path],Comment [Image File Comments],Channels,Processed Data File,Visualisation Method,Expression Pattern Description
ALX4_10PCW,"13168,6,ribs,10pcw,15_ALX4.ome.tiff","Fetus 13136, slide 15",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,ALX4,NM_021926,Abcam ab131585,,,,,,,,ENSG00000052850,ALX4,,,,,"ALX4_10pcw\13168,6,ribs,10pcw,15_ALX4.ome.tiff",,,,DAB,Bone (strong)
ALX4_10PCW,"13168,6,ribs,10pcw,16_ALX4.ome.tiff","Fetus 13136, slide 16",Homo sapiens,NCBITaxon,9606,10PCW,Immunohistochemistry,ALX4,NM_021926,Abcam ab131585,,,,,,,,ENSG00000052850,ALX4,,,,,"ALX4_10pcw\13168,6,ribs,10pcw,16_ALX4.ome.tiff",,,,DAB,Bone (strong)
ALX4_9PCW,"13159,6,ribs,9pcw,12_ALX4.ome.tiff","Fetus 13159, slide 12",Homo sapiens,NCBITaxon,9606,9PCW,Immunohistochemistry,ALX4,NM_021926,Abcam ab131585,,,,,,,,ENSG00000052850,ALX4,,,,,"ALX4_9pcw\13159,6,ribs,9pcw,12_ALX4.ome.tiff",,,,DAB,Bone (strong)
ALX4_9PCW,"13159,6,ribs,9pcw,15_ALX4.ome.tiff","Fetus 13159, slide 15",Homo sapiens,NCBITaxon,9606,9PCW,Immunohistochemistry,ALX4,NM_021926,Abcam ab131585,,,,,,,,ENSG00000052850,ALX4,,,,,"ALX4_9pcw\13159,6,ribs,9pcw,15_ALX4.ome.tiff",,,,DAB,Bone (strong)
ALX4_CS14,Autotest_0000015733_ALX4.ome.tiff,"Embryo 951, slide 8",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,ALX4,NM_021926,Abcam ab131585,,,,,,,,ENSG00000052850,ALX4,,,,,ALX4_CS14\Autotest_0000015733_ALX4.ome.tiff,,,,DAB,"Head mesenchyme, spinal cord, liver, mesonephros, lower limb bud (strong)"
ALX4_CS14,"N951,1,body,CS14,7_ALX4.ome.tiff","Embryo 951, slide 7",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,ALX4,NM_021926,Abcam ab131585,,,,,,,,ENSG00000052850,ALX4,,,,,"ALX4_CS14\N951,1,body,CS14,7_ALX4.ome.tiff",,,,DAB,"Head mesenchyme, spinal cord, liver, mesonephros, lower limb bud (strong)"
ALX4_CS16,"1060,1,whole,CS16,41_ALX4.ome.tiff","Embryo 1060, slide 41",Homo sapiens,NCBITaxon,9606,CS16,Immunohistochemistry,ALX4,NM_021926,Abcam ab131585,,,,,,,,ENSG00000052850,ALX4,,,,,"ALX4_CS16\1060,1,whole,CS16,41_ALX4.ome.tiff",,,,DAB,"Head mesenchyme, telencephalon, rhombencephalon, vagus ganglion, glossopharyngeal ganglion, vestibulocochlear ganglion, liver, lower limb bud (strong)"
ALX4_CS16,"1060,1,whole,CS16,42_ALX4.ome.tiff","Embryo 1060, slide 42",Homo sapiens,NCBITaxon,9606,CS16,Immunohistochemistry,ALX4,NM_021926,Abcam ab131585,,,,,,,,ENSG00000052850,ALX4,,,,,"ALX4_CS16\1060,1,whole,CS16,42_ALX4.ome.tiff",,,,DAB,"Head mesenchyme, telencephalon, rhombencephalon, vagus ganglion, glossopharyngeal ganglion, vestibulocochlear ganglion, liver, lower limb bud (strong)"
ALX4_CS18,"11863,1,sag,CS18,20_ALX4.ome.tiff","Embryo 11863, slide 20",Homo sapiens,NCBITaxon,9606,CS18,Immunohistochemistry,ALX4,NM_021926,Abcam ab131585,,,,,,,,ENSG00000052850,ALX4,,,,,"ALX4_CS18\11863,1,sag,CS18,20_ALX4.ome.tiff",,,,DAB,"Head mesenchyme, liver, upper limb bud, lower limb bud (strong)"
ALX4_CS18,"11863,1,sag,CS18,21_ALX4.ome.tiff","Embryo 11863, slide 21",Homo sapiens,NCBITaxon,9606,CS18,Immunohistochemistry,ALX4,NM_021926,Abcam ab131585,,,,,,,,ENSG00000052850,ALX4,,,,,"ALX4_CS18\11863,1,sag,CS18,21_ALX4.ome.tiff",,,,DAB,"Head mesenchyme, liver, upper limb bud, lower limb bud (strong)"
ALX4_CS21,Autotest_0000015734_ALX4.ome.tiff,"Embryo 1573, slide 170",Homo sapiens,NCBITaxon,9606,CS21,Immunohistochemistry,ALX4,NM_021926,Abcam ab131585,,,,,,,,ENSG00000052850,ALX4,,,,,ALX4_CS21\Autotest_0000015734_ALX4.ome.tiff,,,,DAB,"Bone (rib, upper limb) (strong)"
ALX4_CS21,Autotest_0000015735_ALX4.ome.tiff,"Embryo 1573, slide 173",Homo sapiens,NCBITaxon,9606,CS21,Immunohistochemistry,ALX4,NM_021926,Abcam ab131585,,,,,,,,ENSG00000052850,ALX4,,,,,ALX4_CS21\Autotest_0000015735_ALX4.ome.tiff,,,,DAB,"Bone (rib, upper limb) (strong)"
ALX4_CS22,"11949,3,U torso,CS22,71_ALX4.ome.tiff","Embryo 11949, slide 71",Homo sapiens,NCBITaxon,9606,CS22,Immunohistochemistry,ALX4,NM_021926,Abcam ab131585,,,,,,,,ENSG00000052850,ALX4,,,,,"ALX4_CS22\11949,3,U torso,CS22,71_ALX4.ome.tiff",,,,DAB,"Spinal cord, rib, vertebra, lung, aorta (strong)"
ALX4_CS22,"11949,3,U torso,CS22,72_ALX4.ome.tiff","Embryo 11949, slide 72",Homo sapiens,NCBITaxon,9606,CS22,Immunohistochemistry,ALX4,NM_021926,Abcam ab131585,,,,,,,,ENSG00000052850,ALX4,,,,,"ALX4_CS22\11949,3,U torso,CS22,72_ALX4.ome.tiff",,,,DAB,"Spinal cord, rib, vertebra, lung, aorta (strong)"
